Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000238009,AL627309.1,0.0002512761265223694,-6.160143754257527,1.0,0.0,6.160143754257527,1.0
ENSG00000241860,AL627309.5,0.004271694150880279,-2.990218752815215,1.0,0.0,2.990218752815215,1.0
ENSG00000286448,AP006222.2,0.004522970277402649,-2.912216240813943,1.0,0.0,2.912216240813943,1.0
ENSG00000237491,LINC01409,0.008543388301760558,-2.030860737312562,1.0,0.0,2.030860737312562,1.0
ENSG00000177757,FAM87B,0.0002512761265223694,-6.160143754257527,1.0,0.0,6.160143754257527,1.0
ENSG00000228794,LINC01128,0.021861023007446134,-0.7007121356202308,1.0,0.0,0.7007121356202308,1.0
ENSG00000225880,LINC00115,0.0025127612652236938,-3.700712135620231,1.0,0.0,3.700712135620231,1.0
ENSG00000230368,FAM41C,0.0015076567591342162,-4.3527888321999235,1.0,0.0,4.3527888321999235,1.0
ENSG00000223764,LINC02593,0.01658422435047638,-1.0940545637997552,1.0,0.0,1.0940545637997552,1.0
ENSG00000187634,SAMD11,0.040958008623146205,0.19740825036055565,1.0,0.0,-0.19740825036055565,1.0
ENSG00000188976,NOC2L,0.15126822816646637,-0.5090920630785996,1.0,0.1863466986549603,0.5090920630785996,1.0
ENSG00000187961,KLHL17,0.030655687435729065,-0.21762924891828828,1.0,0.0,0.21762924891828828,1.0
ENSG00000187583,PLEKHN1,0.0052767986569697565,-2.700712135620231,1.0,0.0,2.700712135620231,1.0
ENSG00000272512,AL645608.7,0.004774246403925018,-2.8382156593701655,1.0,0.0,2.8382156593701655,1.0
ENSG00000188290,HES4,0.2025285579770297,-0.08868139170090394,1.0,0.1863466986549603,0.08868139170090394,1.0
ENSG00000187608,ISG15,0.5005420440325598,0.3411506219442326,1.0,0.3726933973099206,-0.3411506219442326,1.0
ENSG00000188157,AGRN,0.057542232973622584,-0.3146537033131529,1.0,0.037269339730992064,0.3146537033131529,1.0
ENSG00000237330,RNF223,0.0002512761265223694,-6.160143754257527,1.0,0.0,6.160143754257527,1.0
ENSG00000131591,C1orf159,0.03794269510487778,0.08778375918605708,1.0,0.0,-0.08778375918605708,1.0
ENSG00000223823,LINC01342,0.0002512761265223694,-6.160143754257527,1.0,0.0,6.160143754257527,1.0
ENSG00000272141,AL390719.2,0.0025127612652236938,-3.700712135620231,1.0,0.0,3.700712135620231,1.0
ENSG00000162571,TTLL10,0.0005025522530447388,-5.575181253536371,1.0,0.0,5.575181253536371,1.0
ENSG00000186891,TNFRSF18,0.01985081399526718,-0.8382156593701655,1.0,0.0,0.8382156593701655,1.0
ENSG00000186827,TNFRSF4,0.04874756854533966,-1.1377759412290742,1.0,0.07453867946198413,1.1377759412290742,1.0
ENSG00000078808,SDF4,0.3882216154770607,0.626825927609715,1.0,0.22361603838595237,-0.626825927609715,1.0
ENSG00000176022,B3GALT6,0.09146451005414245,-0.6483911004901488,1.0,0.11180801919297619,0.6483911004901488,1.0
ENSG00000184163,C1QTNF12,0.0025127612652236938,-3.700712135620231,1.0,0.0,3.700712135620231,1.0
ENSG00000160087,UBE2J2,0.10628980151896225,-0.4322232996943294,1.0,0.11180801919297619,0.4322232996943294,1.0
ENSG00000162572,SCNN1D,0.019348261742222442,-0.8747415353952794,1.0,0.0,0.8747415353952794,1.0
ENSG00000131584,ACAP3,0.09649003258458984,-0.156391619396421,1.0,0.07453867946198413,0.156391619396421,1.0
ENSG00000169972,PUSL1,0.06985476317321869,0.9639775575716598,1.0,0.0,-0.9639775575716598,1.0
ENSG00000127054,INTS11,0.13769931733425841,0.3555560840265142,1.0,0.07453867946198413,-0.3555560840265142,1.0
ENSG00000240731,AL139287.1,0.0002512761265223694,-6.160143754257527,1.0,0.0,6.160143754257527,1.0
ENSG00000224051,CPTP,0.1108127717963649,-1.1795961169237008,1.0,0.22361603838595237,1.1795961169237008,1.0
ENSG00000169962,TAS1R3,0.0017589328856565856,-4.160143754257527,1.0,0.0,4.160143754257527,1.0
ENSG00000107404,DVL1,0.10151555511503722,0.5016343435144583,1.0,0.037269339730992064,-0.5016343435144583,1.0
ENSG00000162576,MXRA8,0.1427248398647058,-0.5928214126721025,1.0,0.1863466986549603,0.5928214126721025,1.0
ENSG00000175756,AURKAIP1,0.4922499318573216,-0.1303964108634761,1.0,0.5217707562338889,0.1303964108634761,1.0
ENSG00000221978,CCNL2,0.3085670833694696,1.1031254461151332,1.0,0.11180801919297619,-1.1031254461151332,1.0
ENSG00000224870,MRPL20-AS1,0.02336867976658035,-0.6055549025798905,1.0,0.0,0.6055549025798905,1.0
ENSG00000242485,MRPL20,0.4349589750102214,1.0131169597480403,1.0,0.1863466986549603,-1.0131169597480403,1.0
ENSG00000272455,AL391244.2,0.004522970277402649,-2.912216240813943,1.0,0.0,2.912216240813943,1.0
ENSG00000235098,ANKRD65,0.014322739211775055,-1.3021627591299563,1.0,0.0,1.3021627591299563,1.0
ENSG00000225285,LINC01770,0.0005025522530447388,-5.575181253536371,1.0,0.0,5.575181253536371,1.0
ENSG00000179403,VWA1,0.46812742371117416,0.244610771759455,1.0,0.3726933973099206,-0.244610771759455,1.0
ENSG00000215915,ATAD3C,0.017840604983088225,-0.9902187528152151,1.0,0.0,0.9902187528152151,1.0
ENSG00000160072,ATAD3B,0.1746369079330467,-0.03912835329616238,1.0,0.14907735892396826,0.03912835329616238,1.0
ENSG00000197785,ATAD3A,0.13493527994251237,-0.08868139170090439,1.0,0.11180801919297619,0.08868139170090439,1.0
ENSG00000205090,TMEM240,0.00402041802435791,-3.072680913007188,1.0,0.0,3.072680913007188,1.0
ENSG00000160075,SSU72,0.40983136235798445,0.05284996907667039,1.0,0.3726933973099206,-0.05284996907667039,1.0
ENSG00000228594,FNDC10,0.007287007669148712,-2.2532531586490094,1.0,0.0,2.2532531586490094,1.0
ENSG00000272106,AL691432.2,0.00804083604871582,-2.1157496348990747,1.0,0.0,2.1157496348990747,1.0
ENSG00000197530,MIB2,0.0771417708423674,-1.2152853084499893,1.0,0.14907735892396826,1.2152853084499893,1.0
ENSG00000189409,MMP23B,0.09875151772329116,0.46190806519884786,1.0,0.037269339730992064,-0.46190806519884786,1.0
ENSG00000248333,CDK11B,0.0037691418978355404,-3.160143754257528,1.0,0.0,3.160143754257528,1.0
ENSG00000272004,FO704657.1,0.0030153135182684324,-3.4597040361164364,1.0,0.0,3.4597040361164364,1.0
ENSG00000189339,SLC35E2B,0.03392227708051986,-1.0726809130071886,1.0,0.037269339730992064,1.0726809130071886,1.0
ENSG00000008128,CDK11A,0.013317634705685576,-1.405256252094059,1.0,0.0,1.405256252094059,1.0
ENSG00000215790,SLC35E2A,0.026132717158326414,-1.4458982365914061,1.0,0.037269339730992064,1.4458982365914061,1.0
ENSG00000008130,NADK,0.18569305750003096,0.049309611371421536,1.0,0.14907735892396826,-0.049309611371421536,1.0
ENSG00000078369,GNB1,0.38344736907313565,0.24641559109701094,1.0,0.2981547178479365,-0.24641559109701094,1.0
ENSG00000169885,CALML6,0.0012563806326118469,-4.575181253536371,1.0,0.0,4.575181253536371,1.0
ENSG00000178821,TMEM52,0.010553597313939513,-1.7338789995554302,1.0,0.0,1.7338789995554302,1.0
ENSG00000142609,CFAP74,0.0002512761265223694,-6.160143754257527,1.0,0.0,6.160143754257527,1.0
ENSG00000233542,AL391845.2,0.0002512761265223694,-6.160143754257527,1.0,0.0,6.160143754257527,1.0
ENSG00000187730,GABRD,0.007035731542626342,-2.3021627591299563,1.0,0.0,2.3021627591299563,1.0
ENSG00000067606,PRKCZ,0.04246566538228042,-1.335715318840983,1.0,0.07453867946198413,1.335715318840983,1.0
ENSG00000271806,AL590822.2,0.0002512761265223694,-6.160143754257527,1.0,0.0,6.160143754257527,1.0
ENSG00000182873,PRKCZ-AS1,0.0002512761265223694,-7.160143754257527,1.0,0.037269339730992064,7.160143754257527,1.0
ENSG00000162585,FAAP20,0.462599348927682,-0.01352612630728478,1.0,0.44723207677190474,0.01352612630728478,1.0
ENSG00000157933,SKI,0.06884965866712921,0.943144054154494,1.0,0.0,-0.943144054154494,1.0
ENSG00000287356,AL590822.3,0.0007538283795671081,-5.160143754257527,1.0,0.0,5.160143754257527,1.0
ENSG00000116151,MORN1,0.009548492807850036,-1.8747415353952794,1.0,0.0,1.8747415353952794,1.0
ENSG00000272420,AL513477.2,0.0017589328856565856,-4.160143754257527,1.0,0.0,4.160143754257527,1.0
ENSG00000157916,RER1,0.34349446495607894,0.25770876062836967,1.0,0.26088537811694446,-0.25770876062836967,1.0
ENSG00000157911,PEX10,0.05678840459405548,-0.33359526696661357,1.0,0.037269339730992064,0.33359526696661357,1.0
ENSG00000149527,PLCH2,0.010804873440461884,-1.7007121356202308,1.0,0.0,1.7007121356202308,1.0
ENSG00000157881,PANK4,0.014071463085252684,-1.327253740092786,1.0,0.0,1.327253740092786,1.0
ENSG00000197921,HES5,0.0037691418978355404,-3.160143754257528,1.0,0.0,3.160143754257528,1.0
ENSG00000272449,AL139246.5,0.02035336624831192,-1.8025917496394448,1.0,0.037269339730992064,1.8025917496394448,1.0
ENSG00000238164,TNFRSF14-AS1,0.014322739211775055,-1.3021627591299563,1.0,0.0,1.3021627591299563,1.0
ENSG00000157873,TNFRSF14,0.283690746843755,-0.3399647918423405,1.0,0.33542405757892857,0.3399647918423405,1.0
ENSG00000228037,AL139246.3,0.0005025522530447388,-5.575181253536371,1.0,0.0,5.575181253536371,1.0
ENSG00000157870,PRXL2B,0.045480978900548856,-0.6523491140588322,1.0,0.037269339730992064,0.6523491140588322,1.0
ENSG00000142606,MMEL1,0.0025127612652236938,-3.700712135620231,1.0,0.0,3.700712135620231,1.0
ENSG00000215912,TTC34,0.0010051045060894776,-4.8382156593701655,1.0,0.0,4.8382156593701655,1.0
ENSG00000177133,PRDM16-DT,0.011307425693506621,-1.636581798200515,1.0,0.0,1.636581798200515,1.0
ENSG00000142611,PRDM16,0.0037691418978355404,-3.160143754257528,1.0,0.0,3.160143754257528,1.0
ENSG00000287828,AL354743.2,0.0007538283795671081,-5.160143754257527,1.0,0.0,5.160143754257527,1.0
ENSG00000130762,ARHGEF16,0.032665896447908016,-0.126720752720078,1.0,0.0,0.126720752720078,1.0
ENSG00000272088,AL512413.1,0.0007538283795671081,-5.160143754257527,1.0,0.0,5.160143754257527,1.0
ENSG00000162591,MEGF6,0.10151555511503722,-1.0833281572066977,1.0,0.1863466986549603,1.0833281572066977,1.0
ENSG00000238260,AL513320.1,0.0002512761265223694,-6.160143754257527,1.0,0.0,6.160143754257527,1.0
ENSG00000158109,TPRG1L,0.20378493860964156,-0.07977033779350817,1.0,0.1863466986549603,0.07977033779350817,1.0
ENSG00000116213,WRAP73,0.027137821664415893,-1.3919594294806017,1.0,0.037269339730992064,1.3919594294806017,1.0
ENSG00000078900,TP73,0.004774246403925018,-3.838215659370166,1.0,0.037269339730992064,3.838215659370166,1.0
ENSG00000235169,SMIM1,0.022112299133968505,-0.6844103232911305,1.0,0.0,0.6844103232911305,1.0
ENSG00000130764,LRRC47,0.14322739211775054,-0.5877593196158419,1.0,0.1863466986549603,0.5877593196158419,1.0
ENSG00000116198,CEP104,0.025881441031804047,-1.459704036116436,1.0,0.037269339730992064,1.459704036116436,1.0
ENSG00000169598,DFFB,0.007538283795671081,-2.2059474438706523,1.0,0.0,2.2059474438706523,1.0
ENSG00000198912,C1orf174,0.017086776603521116,-1.051619297479359,1.0,0.0,1.051619297479359,1.0
ENSG00000236423,LINC01134,0.004522970277402649,-2.912216240813943,1.0,0.0,2.912216240813943,1.0
ENSG00000196581,AJAP1,0.0012563806326118469,-4.575181253536371,1.0,0.0,4.575181253536371,1.0
ENSG00000131697,NPHP4,0.021861023007446134,-1.7007121356202313,1.0,0.037269339730992064,1.7007121356202313,1.0
ENSG00000069424,KCNAB2,0.06935221092017395,-1.0464015882083402,1.0,0.11180801919297619,1.0464015882083402,1.0
ENSG00000116251,RPL22,2.26525428059916,0.09548499655285192,1.0,2.1616217043975396,-0.09548499655285192,1.0
ENSG00000226944,AL031847.1,0.0010051045060894776,-4.8382156593701655,1.0,0.0,4.8382156593701655,1.0
ENSG00000158286,RNF207,0.011558701820028992,-1.6055549025798905,1.0,0.0,1.6055549025798905,1.0
ENSG00000116237,ICMT,0.0902081294215306,-0.990218752815216,1.0,0.14907735892396826,0.990218752815216,1.0
ENSG00000225077,LINC00337,0.0007538283795671081,-5.160143754257527,1.0,0.0,5.160143754257527,1.0
ENSG00000158292,GPR153,0.013820186958730316,-1.3527888321999235,1.0,0.0,1.3527888321999235,1.0
ENSG00000097021,ACOT7,0.2238870287314311,-0.16659877639482779,1.0,0.22361603838595237,0.16659877639482779,1.0
ENSG00000271746,AL031848.2,0.0007538283795671081,-5.160143754257527,1.0,0.0,5.160143754257527,1.0
ENSG00000069812,HES2,0.012312530199596099,-1.5162875644828029,1.0,0.0,1.5162875644828029,1.0
ENSG00000187017,ESPN,0.12513551100813994,-0.5191758438076302,1.0,0.14907735892396826,0.5191758438076302,1.0
ENSG00000215788,TNFRSF25,0.057542232973622584,-0.3146537033131529,1.0,0.037269339730992064,0.3146537033131529,1.0
ENSG00000171680,PLEKHG5,0.022614851387013243,-1.6523491140588322,1.0,0.037269339730992064,1.6523491140588322,1.0
ENSG00000162408,NOL9,0.04221438925575805,-0.7592643179753442,1.0,0.037269339730992064,0.7592643179753442,1.0
ENSG00000204859,ZBTB48,0.07915197985454635,-0.8563630060804255,1.0,0.11180801919297619,0.8563630060804255,1.0
ENSG00000162413,KLHL21,0.08870047266239639,-1.0144662990618931,1.0,0.14907735892396826,1.0144662990618931,1.0
ENSG00000116273,PHF13,0.02764037391746063,-1.9506903886285785,1.0,0.07453867946198413,1.9506903886285785,1.0
ENSG00000041988,THAP3,0.05050650143099624,-0.5019322715057339,1.0,0.037269339730992064,0.5019322715057339,1.0
ENSG00000007923,DNAJC11,0.10051045060894775,-0.8346134226899702,1.0,0.14907735892396826,0.8346134226899702,1.0
