Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000238009,AL627309.1,0.0003262742795320955,-0.7015784838053971,1.0,0.0,0.7558309368743998,1.0,0.0,6.1596612562558235,1.0
ENSG00000241860,AL627309.5,0.004567839913449337,0.2053121118031198,0.9857553802904602,0.0032795113915436783,-0.15105965873411797,0.9910389042689435,0.0,2.9897362548135105,1.0
ENSG00000286448,AP006222.2,0.004567839913449337,-0.11661598308424193,1.0,0.004372681855391571,0.17086843615324465,1.0,0.0,2.9117337428122374,1.0
ENSG00000237491,LINC01409,0.009461954106430769,0.6203496110819637,0.6064178807738464,0.005465852319239463,-0.5660971580129619,0.6059435307022697,0.0,2.0303782393108563,1.0
ENSG00000177757,FAM87B,0.0003262742795320955,-0.7015784838053971,1.0,0.0,0.7558309368743998,1.0,0.0,6.1596612562558235,1.0
ENSG00000228794,LINC01128,0.022186651008182495,0.0850178780854085,1.0,0.02077023881310996,-0.03076542501640578,1.0,0.0,0.7002296376185253,1.0
ENSG00000225880,LINC00115,0.002610194236256764,-0.11661598308424104,1.0,0.0021863409276957854,0.17086843615324376,1.0,0.0,3.7002296376185253,1.0
ENSG00000230368,FAM41C,0.001305097118128382,-0.9646128896391915,0.87574659457041,0.0021863409276957854,1.0188653427081942,0.8713251192374537,0.0,4.352306334198218,1.0
ENSG00000223764,LINC02593,0.015661165417540583,-0.33479615313377575,0.7554997744997437,0.01967706834926207,0.3890486062027785,0.6807719057115986,0.0,1.0935720657980506,1.0
ENSG00000187634,SAMD11,0.03491134790993422,-0.7795809958066711,0.017721366882308964,0.06121754597548199,0.8338334488756738,0.012107933317694245,0.0,-0.19789074836226117,1.0
ENSG00000188976,NOC2L,0.16313713976604774,0.5122008072263418,0.023818235219484358,0.11150338731248506,-0.5406621106366911,0.017531801013469787,0.1862825141282578,0.5086095650768936,1.0
ENSG00000187961,KLHL17,0.028712136598824402,-0.3551280697839667,0.5820957241852153,0.03716779577082835,0.40938052285296944,0.47968227889716397,0.0,0.21714675091658275,1.0
ENSG00000187583,PLEKHN1,0.003915291354385146,-1.323066860551668,0.2247201923463693,0.009838534174631035,1.3773193136206707,0.15203034399152054,0.0,2.7002296376185253,1.0
ENSG00000272512,AL645608.7,0.004567839913449337,-0.37965038891803626,0.9923036451212058,0.005465852319239463,0.4339028419870381,0.9949914553179539,0.0,2.83773316136846,1.0
ENSG00000188290,HES4,0.19380692204206473,-0.25301695038701855,0.3598756483330079,0.23175213833575325,0.2617218666043577,0.3413540483255571,0.1862825141282578,0.08819889369919798,1.0
ENSG00000187608,ISG15,0.512576893144922,0.16191951628973966,0.4941163674650259,0.4602247652799628,-0.15060375889120614,0.5411225097676098,0.3725650282565156,-0.3416331199459385,1.0
ENSG00000188157,AGRN,0.053182707563731564,-0.4314893204376542,0.21447652390660663,0.07214925061396092,0.45559791308635766,0.18777933792497115,0.03725650282565156,0.3141712053114478,1.0
ENSG00000237330,RNF223,0.0003262742795320955,-0.7015784838053971,1.0,0.0,0.7558309368743998,1.0,0.0,6.1596612562558235,1.0
ENSG00000131591,C1orf159,0.03850036498478727,0.10577643825220573,0.9359587544180121,0.03607462530698046,-0.051523985183203,1.0,0.0,-0.0882662571877626,1.0
ENSG00000223823,LINC01342,0.0003262742795320955,-0.7015784838053971,1.0,0.0,0.7558309368743998,1.0,0.0,6.1596612562558235,1.0
