Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000238009,AL627309.1,0.0011026692370065432,-0.14671615422069983,1.0,0.0,1.2367345970748573,1.0,0.0,1.462140677364931,1.0
ENSG00000237491,LINC01409,0.006064680803535987,-0.14671615422069983,1.0,0.0034294276908406695,0.01434217573840968,1.0,0.00787900600901352,0.9316259606661514,1.0
ENSG00000228794,LINC01128,0.008821353896052346,0.7708216855873271,1.0,0.0034294276908406695,-0.34822790364629874,1.0,0.00393950300450676,-0.12282182335622505,1.0
ENSG00000225880,LINC00115,0.0011026692370065432,-1.731678654941856,0.9991286584980152,0.0034294276908406695,1.8216970977960143,1.0,0.00393950300450676,2.047103178086087,1.0
ENSG00000230368,FAM41C,0.0016540038555098147,0.2683213450581441,1.0,0.0,0.8216970977960134,1.0,0.0,1.047103178086087,1.0
ENSG00000223764,LINC02593,0.008270019277549074,-0.5390335769994605,1.0,0.017147138454203348,1.3191967572668304,1.0,0.00393950300450676,-0.3452142446926736,1.0
ENSG00000187634,SAMD11,0.011578026988568703,-0.2722470363045586,1.0,0.017147138454203348,0.8216970977960134,1.0,0.00787900600901352,-0.12282182335622416,1.0
ENSG00000188976,NOC2L,0.06946816193141221,-0.02839618703193869,1.0,0.09945340303437941,0.6411248521541926,1.0,0.03545552704056084,-0.9163709458887985,0.8355476247842332
ENSG00000187961,KLHL17,0.028669400162170122,-0.3256862952660198,1.0,0.0445825599809287,0.7464089704917765,1.0,0.023637018027040557,-0.18993601921476166,1.0
ENSG00000187583,PLEKHN1,0.0005513346185032716,-2.316641155663012,0.9991286584980152,0.006858855381681339,3.4066595985171704,1.0,0.0,1.047103178086087,1.0
ENSG00000272512,AL645608.7,0.0027566730925163577,-1.1467161542206998,1.0,0.0034294276908406695,0.8216970977960143,1.0,0.00787900600901352,1.8247107567496403,1.0
ENSG00000188290,HES4,0.04686344257277809,-0.6273419951271206,0.9128979026867615,0.06858855381681339,0.4997690029086508,1.0,0.07485055708562843,0.641110818410251,1.0
ENSG00000187608,ISG15,0.11743427374119685,-0.18003622742072656,1.0,0.1234593968702641,0.06536617876287609,1.0,0.14182210816224336,0.29077225905295023,1.0
ENSG00000188157,AGRN,0.022604719358634135,0.8532838457792993,0.9991286584980152,0.013717710763362678,-0.3158064259539213,1.0,0.00787900600901352,-0.891496277249769,1.0
ENSG00000131591,C1orf159,0.019296711647614505,-0.46864424910806246,1.0,0.024005993835884688,0.3954323430939155,1.0,0.027576521031547317,0.6208384233839892,1.0
ENSG00000272141,AL390719.2,0.004410676948026173,-0.14671615422069983,1.0,0.0034294276908406695,0.49976900290865167,1.0,0.00393950300450676,0.7251750831987245,1.0
ENSG00000162571,TTLL10,0.0011026692370065432,-1.1467161542206998,1.0,0.0,0.8216970977960134,1.0,0.00393950300450676,2.462140677364931,1.0
