Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000238009,AL627309.1,0.0012061469175580018,0.3441249681421663,1.0,0.0,0.7971483473294931,1.0,0.0,2.9342836290912873,1.0,0.0,1.6597613313747077,1.0
ENSG00000237491,LINC01409,0.004824587670232007,-0.8782674531942813,1.0,0.010552845443256187,1.2446073243007163,1.0,0.0,0.6123555342039255,1.0,0.008915449313855689,1.1292466146759281,1.0
ENSG00000228794,LINC01128,0.008443028422906012,0.3441249681421672,1.0,0.00791463408244214,0.382110848050651,1.0,0.0,0.2713186163688581,1.0,0.004457724656927844,0.07479883065355164,1.0
ENSG00000225880,LINC00115,0.0012061469175580018,-1.2408375325789907,1.0,0.0052764227216280934,2.38211084805065,1.0,0.0,2.1973180349250816,1.0,0.0,0.922795737208502,1.0
ENSG00000230368,FAM41C,0.0018092203763370026,0.7591624674210102,1.0,0.0,0.3821108480506492,1.0,0.0,2.5192461298124433,1.0,0.0,1.2447238320958638,1.0
ENSG00000223764,LINC02593,0.00783995496412701,-0.6034076119636982,1.0,0.010552845443256187,0.5341139414957006,1.0,0.030716827656329434,2.271318616368858,1.0,0.004457724656927844,-0.14759359068289601,1.0
ENSG00000187634,SAMD11,0.012061469175580018,-0.01844511124254211,1.0,0.00791463408244214,-0.31832887009044164,1.0,0.030716827656329434,1.8188064116713516,1.0,0.008915449313855689,0.07479883065355164,1.0
ENSG00000188976,NOC2L,0.06633808046569009,-0.2277813797535435,1.0,0.09497560898930568,0.5803369582563458,1.0,0.11262836807320792,0.8374220898386988,1.0,0.03120407259849491,-1.0590569160812393,0.8354746726254818
ENSG00000187961,KLHL17,0.028344452562613042,-0.29973122163255805,1.0,0.04221138177302475,0.6622187672433855,1.0,0.02047788510421962,-0.025074386411366056,1.0,0.026746347941567064,0.007684634795014134,1.0
ENSG00000187583,PLEKHN1,0.0006030734587790009,-1.8258000333001467,1.0,0.0052764227216280934,2.967073348771806,1.0,0.0,2.5192461298124433,1.0,0.0,1.2447238320958638,1.0
ENSG00000272512,AL645608.7,0.0024122938351160035,-1.2408375325789889,1.0,0.0052764227216280934,1.1597184267142024,1.0,0.0,1.3493211283701312,1.0,0.008915449313855689,2.022331410759416,1.0
ENSG00000188290,HES4,0.04523050940842507,-0.6367662089101289,0.8608140515119791,0.05540243857709498,0.14110274854685567,1.0,0.1023894255210981,1.1331876975053663,1.0,0.08023904382470119,0.7511843591383025,0.9640603654592801
ENSG00000187608,ISG15,0.11518703062678917,-0.22573064018878153,1.0,0.13454877940151638,0.20603361962674294,1.0,0.11262836807320792,0.0009208221215781798,1.0,0.14264718902169102,0.3004332646821517,1.0
ENSG00000188157,AGRN,0.02291679143360203,0.7226365913958963,1.0,0.018467479525698327,0.024558843432566313,1.0,0.0,-1.0657163709087127,1.0,0.008915449313855689,-0.6938756232399932,1.0
ENSG00000131591,C1orf159,0.020504497598486028,-0.11155451563402341,1.0,0.018467479525698327,-0.044153906651447805,1.0,0.02047788510421962,0.5192461298124442,1.0,0.026746347941567064,0.5926471355161702,1.0
ENSG00000272141,AL390719.2,0.0036184407526740053,-0.7554107054087478,1.0,0.00791463408244214,1.382110848050651,1.0,0.0,1.059814511175147,1.0,0.004457724656927844,0.9227957372085012,1.0
ENSG00000162571,TTLL10,0.0012061469175580018,-0.6558750318578337,1.0,0.0,0.3821108480506492,1.0,0.0,2.5192461298124433,1.0,0.004457724656927844,2.6597613313747077,1.0
ENSG00000186891,TNFRSF18,0.03678748098551905,0.12839627708672907,1.0,0.044849593133838794,0.46457300824262315,1.0,0.02047788510421962,-0.2708308008133242,1.0,0.017830898627711377,-0.7731980759013988,1.0
ENSG00000186827,TNFRSF4,0.05608583166644708,-0.3586740228728482,1.0,0.08178455218523545,0.5619318856354631,1.0,0.08191154041687848,0.6017082900044173,1.0,0.049034971226206286,-0.22559610268416996,1.0
ENSG00000078808,SDF4,0.12001161829702117,-0.2116911869194733,1.0,0.1582926816488428,0.4241049367152776,1.0,0.1740620233858668,0.5598881143097905,1.0,0.08915449313855689,-0.4767009111745648,1.0
ENSG00000176022,B3GALT6,0.02110757105726503,0.022196873254803684,1.0,0.010552845443256187,-0.8195230131189994,1.0,0.030716827656329434,0.9646572781348066,1.0,0.03120407259849491,0.8184590773937659,1.0
ENSG00000184163,C1QTNF12,0.010855322258022016,-0.3148381140227663,1.0,0.013191056804070234,0.443511392714794,1.0,0.02047788510421962,1.4037689123925086,1.0,0.008915449313855689,0.12924661467592813,1.0
ENSG00000160087,UBE2J2,0.0693534477595851,-0.1642162509760774,1.0,0.10025203171093378,0.6231189475544454,1.0,0.05119471276054905,-0.26211358371221527,1.0,0.049034971226206286,-0.4831966224673354,1.0
ENSG00000162572,SCNN1D,0.019298350680928028,0.9962016647218599,0.9118668055007524,0.013191056804070234,-0.12038949247853292,1.0,0.01023894255210981,0.2713186163688581,1.0,0.0,-2.040678386766384,0.7717329556632817
ENSG00000131584,ACAP3,0.06633808046569009,-0.20130916839235224,1.0,0.0791463408244214,0.27021796797975295,1.0,0.1023894255210981,0.71189120775484,1.0,0.05795042054006198,-0.18632598517161103,1.0
ENSG00000169972,PUSL1,0.019298350680928028,0.6336315853371515,1.0,0.013191056804070234,-0.20285165267050598,1.0,0.01023894255210981,0.1973180349250816,1.0,0.008915449313855689,-0.45571588604522795,1.0
ENSG00000127054,INTS11,0.10191941453365115,0.1024642131009399,1.0,0.1239959339582602,0.4048309245507338,1.0,0.08191154041687848,-0.1437188829099849,1.0,0.049034971226206286,-0.9840948584000171,0.7026169028557522
ENSG00000224051,CPTP,0.028947526021392042,0.6734325933951268,1.0,0.010552845443256187,-1.1288510712267286,1.0,0.02047788510421962,0.22156558117175962,1.0,0.026746347941567064,0.2707190406288076,1.0
ENSG00000169962,TAS1R3,0.0012061469175580018,-0.6558750318578337,1.0,0.0,0.3821108480506492,1.0,0.0,2.5192461298124433,1.0,0.004457724656927844,2.6597613313747077,1.0
ENSG00000107404,DVL1,0.03919977482063506,-0.2839062544708755,1.0,0.04221138177302475,0.09453425795406467,1.0,0.08191154041687848,1.18137649105606,1.0,0.040119521912350596,0.07479883065355075,1.0
ENSG00000162576,MXRA8,0.09046101881685013,-0.572288401584859,0.645476697734407,0.10289024307174782,0.017538415754794645,1.0,0.0921504829689883,-0.04146882466203472,1.0,0.20505533421868083,1.1626880632298517,0.05689087863996144
ENSG00000175756,AURKAIP1,0.13207308747260119,0.14820475816690948,1.0,0.1187195112366321,-0.10555445131559082,1.0,0.15358413828164716,0.34932112837013163,1.0,0.10252766710934041,-0.29959668412794693,1.0
ENSG00000221978,CCNL2,0.2213279593718933,-0.27951800074304956,1.0,0.31922357465849965,0.5479765948774462,1.0,0.31740721911540415,0.48307251725895917,1.0,0.16047808764940238,-0.5681906153036409,1.0
ENSG00000224870,MRPL20-AS1,0.01326761609313802,-0.03920367140933845,1.0,0.013191056804070234,0.21218584660833795,1.0,0.01023894255210981,0.5650498194255684,1.0,0.013373173970783532,0.3867428369682919,1.0
ENSG00000242485,MRPL20,0.11156858987411516,0.08886791290009155,1.0,0.10816666579337592,0.00624394605248435,1.0,0.0921504829689883,-0.12461005996228058,1.0,0.10252766710934041,-0.0529567165448217,1.0
ENSG00000272455,AL391244.2,0.0006030734587790009,-1.8258000333001467,1.0,0.0026382113608140467,1.797148347329494,1.0,0.01023894255210981,3.9342836290912873,1.0,0.0,1.2447238320958638,1.0
ENSG00000235098,ANKRD65,0.016886056845812025,-0.2897471330599366,1.0,0.029020324968954514,0.9670733487718071,1.0,0.0,-0.9070186248896546,1.0,0.013373173970783532,-0.07720426279149883,1.0
ENSG00000179403,VWA1,0.0759872558061541,0.16288465347201964,1.0,0.052764227216280934,-0.49235826986549025,1.0,0.06143365531265887,-0.06571637090871185,1.0,0.09361221779548473,0.44676760804050897,1.0
ENSG00000215915,ATAD3C,0.010855322258022016,0.0070899808645954465,1.0,0.0052764227216280934,-0.6178891519493499,1.0,0.02047788510421962,1.5192461298124442,1.0,0.013373173970783532,0.7211618760388507,1.0
ENSG00000160072,ATAD3B,0.09046101881685013,0.5381355881087919,0.9025347581776929,0.05804064993790903,-0.5205919505944343,1.0,0.06143365531265887,-0.2279877998075892,1.0,0.06686586985391767,-0.23909194516839305,1.0
ENSG00000197785,ATAD3A,0.04764280324354107,0.17419996669985327,1.0,0.036934959051396654,-0.28085416467177904,1.0,0.0921504829689883,1.1973180349250816,1.0,0.026746347941567064,-0.634421773029751,1.0
ENSG00000205090,TMEM240,0.0012061469175580018,-1.2408375325789907,1.0,0.0,0.06018275316328747,1.0,0.01023894255210981,3.5192461298124433,1.0,0.004457724656927844,2.244723832095864,1.0
ENSG00000160075,SSU72,0.17609744996346827,-0.2457530229931062,1.0,0.2321625997516361,0.40251705871248733,1.0,0.21501779359430603,0.27131861636885857,1.0,0.16493581230633023,-0.15840034563947958,1.0
ENSG00000228594,FNDC10,0.009046101881685012,-0.9412772507200815,0.9610314965397183,0.013191056804070234,0.443511392714794,1.0,0.02047788510421962,1.4037689123925086,1.0,0.022288623284639222,1.3061243767600068,0.9009875786072163
ENSG00000272106,AL691432.2,0.009046101881685012,-0.048192454636593496,1.0,0.013191056804070234,0.8796105075214671,1.0,0.0,0.05981451117514691,1.0,0.004457724656927844,-0.14759359068289601,1.0
ENSG00000197530,MIB2,0.059101198960342084,-0.19644341322053638,1.0,0.0791463408244214,0.47832616330995315,1.0,0.07167259786476868,0.40030505708893704,1.0,0.044577246569278445,-0.3833073905171789,1.0
ENSG00000189409,MMP23B,0.04281821557330906,-0.4284645357547614,1.0,0.05012601585546689,0.16488013182998174,1.0,0.05119471276054905,0.3627416441324538,1.0,0.07132359451084551,0.7472241726250468,1.0
ENSG00000248333,CDK11B,0.005427661129011008,-0.5038719384127841,1.0,0.00791463408244214,0.797148347329494,1.0,0.0,0.6123555342039255,1.0,0.008915449313855689,1.1292466146759281,1.0
ENSG00000272004,FO704657.1,0.0018092203763370026,0.7591624674210102,1.0,0.0,0.3821108480506492,1.0,0.0,2.5192461298124433,1.0,0.0,1.2447238320958638,1.0
ENSG00000189339,SLC35E2B,0.052467390913773074,0.6336315853371515,0.9025347581776929,0.036934959051396654,-0.3109113985279581,1.0,0.01023894255210981,-1.2621135837122157,1.0,0.035661797255422754,-0.2718516936450426,1.0
ENSG00000008128,CDK11A,0.019298350680928028,0.9962016647218599,0.9118668055007524,0.010552845443256187,-0.42524407400695363,1.0,0.0,-0.7661560890498045,1.0,0.008915449313855689,-0.37976703281192936,1.0
ENSG00000215790,SLC35E2A,0.04523050940842507,0.19973505880699172,1.0,0.05540243857709498,0.4839904620698636,1.0,0.04095577020843924,0.2118176046201965,1.0,0.008915449313855689,-1.8285251499347748,0.4803039587796216
ENSG00000008130,NADK,0.08382721077028112,-0.0422918531969092,1.0,0.0844227635460495,0.03418754463034368,1.0,0.0921504829689883,0.2637453966640577,1.0,0.08469676848162903,0.06680603990002032,1.0
ENSG00000078369,GNB1,0.2671615422390974,0.2316502388837538,1.0,0.23480081111245016,-0.1316606048135529,1.0,0.2559735638027453,0.044760165452857326,1.0,0.200597609561753,-0.3558355236763109,1.0
ENSG00000169885,CALML6,0.0018092203763370026,-0.24083753257898977,1.0,0.0026382113608140467,1.38211084805065,1.0,0.0,2.1973180349250816,1.0,0.0,0.922795737208502,1.0
ENSG00000178821,TMEM52,0.0012061469175580018,0.3441249681421663,1.0,0.0,0.7971483473294931,1.0,0.0,2.9342836290912873,1.0,0.0,1.6597613313747077,1.0
ENSG00000187730,GABRD,0.0012061469175580018,-0.6558750318578337,1.0,0.0026382113608140467,1.797148347329494,1.0,0.0,2.5192461298124433,1.0,0.0,1.2447238320958638,1.0
ENSG00000067606,PRKCZ,0.04281821557330906,0.022196873254803684,1.0,0.03429674769058261,-0.2699658485290426,1.0,0.1023894255210981,1.4708831082510447,1.0,0.026746347941567064,-0.5177768541774803,1.0
ENSG00000162585,FAAP20,0.16222676041155124,-0.16402193552815847,1.0,0.1978658520610535,0.29912148337961897,1.0,0.2047788510421962,0.35314283932254,1.0,0.14264718902169102,-0.22263470231306215,1.0
ENSG00000157933,SKI,0.05487968474888908,-0.03920367140933845,1.0,0.044849593133838794,-0.28085416467177904,1.0,0.06143365531265887,0.36081676720796096,1.0,0.07132359451084551,0.4866966224018281,1.0
ENSG00000287356,AL590822.3,0.0018092203763370026,-0.24083753257898977,1.0,0.0,0.06018275316328747,1.0,0.0,2.1973180349250816,1.0,0.004457724656927844,2.244723832095864,1.0
ENSG00000116151,MORN1,0.0030153672938950044,-0.6558750318578346,1.0,0.00791463408244214,1.797148347329494,1.0,0.0,1.3493211283701312,1.0,0.0,0.07479883065355164,1.0
ENSG00000272420,AL513477.2,0.0006030734587790009,-1.2408375325789898,1.0,0.0,0.7971483473294931,1.0,0.01023894255210981,4.519246129812443,1.0,0.0,1.6597613313747077,1.0
ENSG00000157916,RER1,0.12785157326114818,0.06760733294475019,1.0,0.13191056804070234,0.1003398796352708,1.0,0.06143365531265887,-0.8632235070099687,1.0,0.1292740150509075,0.08015206514775786,1.0
