Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000187634,SAMD11,0.20152666844385572,0.44720346683068257,0.3546600064618759,0.2029612277287313,0.5621448447972144,0.19220686027138678,0.09283707436004239,-1.110503539830792,0.00047630423715859673
ENSG00000188976,NOC2L,0.3734714406023748,-0.03585536556570568,1.0,0.378015286644762,-0.017115296559758075,1.0,0.38939995078795553,0.05099468861776346,0.9453149355652976
ENSG00000187961,KLHL17,0.08504795182034279,0.20197570027609935,0.8355539256141765,0.08245299876479709,0.15406010616013788,0.9461208742850848,0.0670489981489195,-0.3029469691543838,0.5939542887253898
ENSG00000187583,PLEKHN1,0.07950134626684217,-0.8931815327642405,0.03848112203060542,0.09767509084445193,-0.6337866570082524,0.16707101822165993,0.20372580206787078,1.1705072163497818,4.0816977655201604e-05
ENSG00000187642,PERM1,0.0036977370356670774,2.1149923986814603,0.48451703339445945,0.0,-1.260977393118706,0.78050419050242,0.0012894038105561443,0.1915249976188651,1.0
ENSG00000188290,HES4,0.9725048403804414,-0.1790179366274302,0.7843394109401332,0.989435985177565,-0.17241733553300653,0.8438476479528718,1.2146183895438878,0.30555803321968433,0.29236324593158713
ENSG00000187608,ISG15,0.8356885700607595,-1.1740798680538576,4.6830941749706576e-05,1.1277033215677632,-0.7596585519578354,0.007374923825007584,2.6587506573667694,1.3968466480263222,7.93832451305131e-11
ENSG00000188157,AGRN,0.6434062442060715,-1.448627300146255,1.0620340373347205e-07,1.057935399536012,-0.700640340690889,0.0118653084222146,2.470497701025572,1.4728877616683835,8.791046579442013e-13
ENSG00000237330,RNF223,0.0,0.5300298979603042,1.0,0.0,-0.26097739311870605,1.0,0.0012894038105561443,1.7764874983400212,0.6105598215225169
ENSG00000131591,C1orf159,0.13126966476618127,-0.2943985374562419,0.6822176015755936,0.13953584406350275,-0.22144902893206897,0.843802039278668,0.18567414872008478,0.4486019481562593,0.19128015975833126
ENSG00000162571,TTLL10,0.0055466055535006165,-0.9294017206769931,0.5144641459654489,0.011416569059741135,0.06095070176865658,1.0,0.01547284572667373,0.7764874983400212,0.45785205414469005
