Feature ID,Feature Name,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000204983,PRSS1,0.7946508676653588,0.0,0.0,67846,15.698863808881562,1541
ENSG00000175535,PNLIP,0.7737163468826032,0.0,0.0,41596,9.481449874068296,1326
ENSG00000115386,REG1A,0.7733412554503515,0.0,0.0,60944,14.994944324238556,1587
ENSG00000142789,CELA3A,0.7661735938367843,0.0,0.0,55489,13.419170357839862,1558
ENSG00000153002,CPB1,0.7647955110377114,0.0,0.0,28540,6.654370724134895,1161
ENSG00000170835,CEL,0.7601763895126157,0.0,0.0,36771,8.924755222976762,1308
ENSG00000162438,CTRC,0.7591408362835267,0.0,0.0,32653,7.584264449396049,1214
ENSG00000091704,CPA1,0.758368186780997,0.0,0.0,23022,5.558335078921252,1123
ENSG00000137392,CLPS,0.7558325866000729,0.0,0.0,35439,8.110773225668074,1226
ENSG00000170890,PLA2G1B,0.7553929433379843,0.0,0.0,23121,5.136323567243824,999
ENSG00000168928,CTRB2,0.750378894196485,0.0,0.0,27981,6.771737827021594,1202
ENSG00000142871,CCN1,0.7500430194165599,0.0,0.0,22018,14.118364299610064,1825
ENSG00000172023,REG1B,0.7447501552109885,0.0,0.0,12920,3.0566713853542167,852
ENSG00000168925,CTRB1,0.740660490664903,0.0,0.0,18472,4.519841916727294,1025
ENSG00000158516,CPA2,0.7374036315466863,0.0,0.0,12014,2.893834515033553,820
ENSG00000125740,FOSB,0.7296568750107453,0.0,0.0,12105,8.25765563584991,1678
ENSG00000179751,SYCN,0.7276198026877672,0.0,0.0,4949,1.102002858405253,459
ENSG00000169347,GP2,0.7242160042530187,0.0,0.0,9275,2.214756643242661,727
ENSG00000187021,PNLIPRP1,0.7010763088080915,0.0,0.0,2638,0.6683549196481555,408
ENSG00000123358,NR4A1,0.6993124315482661,0.0,0.0,22112,13.6335799107849,1847
ENSG00000215704,CELA2B,0.6923755103579882,0.0,0.0,2157,0.5024235599340162,326
ENSG00000115263,GCG,0.6723195286398101,0.0,0.0,76702,36.63612395653014,1849
ENSG00000254647,INS,0.6713328662177683,0.0,0.0,91495,41.796541682189364,1854
ENSG00000138161,CUZD1,0.6683864504852057,0.0,0.0,1347,0.29491855232676656,264
ENSG00000168542,COL3A1,0.664322327139085,0.0,0.0,79970,47.05626688535244,1870
ENSG00000164266,SPINK1,0.6621591998519025,0.0,0.0,38863,10.8656057076635,1661
ENSG00000185615,PDIA2,0.6509027900124882,0.0,0.0,2586,0.6575059596245618,438
ENSG00000108821,COL1A1,0.6473566051811344,0.0,0.0,77786,44.44974344802419,1872
ENSG00000011465,DCN,0.6460081643938274,0.0,0.0,31533,18.806308771883387,1864
ENSG00000164692,COL1A2,0.6459039112801344,0.0,0.0,59106,34.86605596293824,1868
ENSG00000119508,NR4A3,0.645256075084666,0.0,0.0,4624,3.1692544391357402,1354
ENSG00000106366,SERPINE1,0.6380009850009463,0.0,0.0,14976,9.315600835391008,1775
ENSG00000001626,CFTR,0.634273386861907,0.0,0.0,8183,2.934937792225955,1179
ENSG00000145423,SFRP2,0.6318622253795892,0.0,0.0,7203,4.718084708328214,1603
ENSG00000118523,CCN2,0.631654083104894,0.0,0.0,23755,14.426187010148409,1862
ENSG00000148346,LCN2,0.6314638602745815,0.0,0.0,14787,5.859694146158105,1387
ENSG00000137801,THBS1,0.6295133252180506,0.0,0.0,20856,12.63037936562852,1859
ENSG00000141086,CTRL,0.6258934070550257,0.0,0.0,2859,0.7011517781213468,480
ENSG00000125144,MT1G,0.6215889489588927,0.0,0.0,2735,0.7468425033027877,535
ENSG00000112936,C7,0.6140532522510932,0.0,0.0,19001,10.72345565594988,1784
ENSG00000118271,TTR,0.6046898625918395,0.0,0.0,29489,14.250007205901024,1741
ENSG00000167748,KLK1,0.6037730212185921,0.0,0.0,1391,0.33250467561749064,301
ENSG00000107317,PTGDS,0.6037455321389604,0.0,0.0,13164,7.91584481346308,1778
ENSG00000170421,KRT8,0.6033131053388501,0.0,0.0,15614,5.839641397349338,1526
ENSG00000166710,B2M,0.599941510338075,0.0,0.0,75461,33.137168637008706,1872
ENSG00000096006,CRISP3,0.5924562426897736,0.0,0.0,3906,1.5998183854211734,726
ENSG00000126709,IFI6,0.5880093837712622,0.0,0.0,10877,4.0081442428103395,1503
ENSG00000196136,SERPINA3,0.5839642606844021,0.0,0.0,6017,1.972885080602615,984
ENSG00000171766,GATM,0.580266182016639,0.0,0.0,3965,1.2070423995223372,839
ENSG00000163435,ELF3,0.5796046643607312,0.0,0.0,6076,2.1842196149369664,1122
ENSG00000080493,SLC4A4,0.5771382056910696,0.0,0.0,3533,1.2463343123422832,834
ENSG00000115414,FN1,0.5771141909523662,0.0,0.0,34566,18.747923775802718,1862
ENSG00000141753,IGFBP4,0.5722076631628296,0.0,0.0,14479,8.742739598331752,1845
ENSG00000162896,PIGR,0.5715923116758138,0.0,0.0,5258,2.000777886919653,983
ENSG00000170345,FOS,0.5667531230050052,0.0,0.0,26265,14.660167397340583,1868
ENSG00000211598,IGKV4-1,0.5645513696867387,0.0,0.0,9906,5.865126807039918,1378
ENSG00000106483,SFRP4,0.5636942976745515,0.0,0.0,11667,6.75484261114772,1719
ENSG00000211895,IGHA1,0.5628132951398269,0.0,0.0,104910,56.64601281029278,1868
