"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.98430191529419e-308,3.45350421255719,1,0.497,5.54853884723868e-304,"0","ALB"
5.72013239661785e-118,2.84539673979783,0.538,0.09,7.96585637553002e-114,"0","C9"
9.00145889291026e-55,2.65583261709306,0.291,0.052,1.25354316542668e-50,"0","CFHR3"
1.4146815738835e-84,2.60060309637267,0.414,0.068,1.97008555979016e-80,"0","CYP2C8"
8.69362414061993e-102,2.57403989079891,0.515,0.1,1.21067409782273e-97,"0","ALDOB"
8.13532375116641e-48,2.44041724071865,0.262,0.047,1.13292518558743e-43,"0","MST1"
1.3359829197023e-47,2.31812110223409,0.286,0.059,1.86048981397742e-43,"0","SERPINA6"
4.50500327956373e-194,2.3029786140714,0.942,0.42,6.27366756712045e-190,"0","ORM1"
1.472361731611e-165,2.20159575059018,0.885,0.367,2.05041094744148e-161,"0","TF"
9.23554703009349e-124,2.10039382656621,0.775,0.29,1.28614227941082e-119,"0","CRP"
3.55250755272535e-158,1.9835974913577,0.91,0.425,4.94722201792532e-154,"0","ORM2"
5.08864028710381e-94,1.95451774879975,0.638,0.199,7.08644046382077e-90,"0","HRG"
6.42800081359413e-41,1.87952887497635,0.315,0.088,8.95163393301119e-37,"0","UGT2B7"
3.66533037082098e-31,1.82149675360494,0.253,0.072,5.1043390744053e-27,"0","PGLYRP2"
6.95675586095061e-70,1.81165514500374,0.555,0.187,9.68797821195982e-66,"0","AZGP1"
2.61405463710069e-48,1.77273821848003,0.382,0.111,3.64033248762642e-44,"0","LRG1"
3.24134777585924e-185,1.73889351297327,0.999,0.788,4.51390091266158e-181,"0","SAA1"
8.24282974784314e-123,1.72828444880407,0.858,0.379,1.14789647068464e-118,"0","ITIH4"
2.34270508202764e-83,1.71463946343134,0.657,0.242,3.26245109723169e-79,"0","SAA4"
6.9307696663253e-77,1.7136393867692,0.655,0.27,9.65178983732461e-73,"0","MT1G"
6.9947560927462e-94,1.68633010059723,0.741,0.301,9.74089733475836e-90,"0","ITIH3"
8.6371911133616e-29,1.65071018448047,0.277,0.093,1.20281523444674e-24,"0","CYP2D6"
1.57871850575624e-79,1.64996092710664,0.675,0.266,2.19852339111614e-75,"0","F2"
