"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.36412987785501e-14,1.88426689084126,0.327,0.096,1.87581499503843e-10,"0","IGHG1"
2.44892949796625e-10,1.79450111852085,0.265,0.093,3.36752295265339e-06,"0","TYMP"
5.89390707216103e-12,1.76802714065667,0.299,0.103,8.10471161492863e-08,"0","CLU"
4.57239993558014e-42,1.20256334231198,0.72,0.237,6.28750715141625e-38,"0","IGHA1"
2.27119512641508e-06,1.10201914370015,0.352,0.216,0.0312312041833338,"0","RPL10"
8.67114693592003e-05,0.931864833659903,0.393,0.296,1,"0","RPL18A"
6.79015774118731e-06,0.796279499648816,0.362,0.227,0.0933714590990667,"0","IGHM"
1.26658464029149e-43,0.79450111852085,0.556,0.062,1.74168053886483e-39,"0","IGHG4"
0.00140099220997961,0.769185094841067,0.284,0.199,1,"0","CIRBP"
0.000577882670746932,0.753040718813974,0.318,0.223,1,"0","CTSD"
0.00412678565469027,0.752806280380901,0.417,0.381,1,"0","UBC"
1.46136141104069e-05,0.71227725136895,0.538,0.416,0.200951807632205,"0","HLA-DRA"
0.00112962321686444,0.665326449357894,0.325,0.237,1,"0","APOE"
0.00137713051655108,0.550130776208806,0.439,0.347,1,"0","PSAP"
1.54477848881411e-14,0.510179911693043,0.506,0.241,2.12422489996829e-10,"0","IGHG3"
8.72691750012454e-05,0.350303823197298,0.275,0.151,1,"0","CCL21"
0.00916557122021864,0.306165261314225,0.67,0.574,1,"0","CD74"
4.2637408242728e-132,10.3274943197919,0.468,0,5.86307000745753e-128,"1","MT-CYB"
4.96921079570904e-128,8.6226223553355,0.468,0.002,6.8331617651795e-124,"1","MT-ATP6"
4.91318634715515e-126,8.07469058555932,0.461,0.002,6.75612254597305e-122,"1","MT-ND3"
1.10501971350627e-131,7.96582710985328,0.487,0.002,1.51951260804247e-127,"1","MT-CO3"
4.27902505896493e-124,7.9560460890607,0.455,0.002,5.88408735858267e-120,"1","MT-ND4"
6.97120432409173e-128,7.8952428099985,0.468,0.002,9.58610306605853e-124,"1","MT-ND1"
2.17914545765098e-35,3.65119150753228,0.26,0.026,2.99654291881586e-31,"1","CCDC80"
4.57090853648607e-60,3.64619082647391,0.5,0.066,6.28545632852199e-56,"1","TAGLN"
8.2544740631271e-54,3.33784725886561,0.474,0.066,1.13507272842061e-49,"1","SFRP2"
2.53352021765549e-42,3.2517846599672,0.39,0.056,3.48384365129807e-38,"1","RNASE1"
2.74863791603404e-49,2.97876616556078,0.571,0.12,3.77965199833841e-45,"1","MT-CO1"
2.70075908481499e-47,2.58644874278202,0.604,0.141,3.71381381752909e-43,"1","IGFBP4"
5.90541092457704e-19,2.47230563851834,0.357,0.109,8.12053056238589e-15,"1","C11orf96"
1.48484798946818e-26,2.36512091013554,0.506,0.171,2.0418144703177e-22,"1","MYL9"
7.30846095650738e-40,2.33608816698334,0.539,0.126,1.00498646612933e-35,"1","MT-CO2"
5.07526516358802e-14,2.09906039927849,0.344,0.128,6.97899712644989e-10,"1","A2M"
2.46323440437355e-22,2.08036430556859,0.468,0.161,3.38719362945407e-18,"1","ACTA2"
1.85051973435349e-18,2.02270951314838,0.299,0.074,2.54464968670949e-14,"1","CAVIN1"
1.50331596599011e-19,1.83871820545308,0.429,0.144,2.067209784833e-15,"1","MT2A"
4.53757195936796e-14,1.82404357076214,0.286,0.086,6.23961520132688e-10,"1","NNMT"
4.47770865163701e-36,1.81012413000194,0.714,0.231,6.15729716686605e-32,"1","COL1A1"
5.14040352627128e-24,1.76765955177085,0.565,0.208,7.06856888897564e-20,"1","MGP"
2.22993565417083e-10,1.69497319956019,0.253,0.088,3.0663845180503e-06,"1","FBLN1"
2.49144834219574e-11,1.69336394669853,0.26,0.085,3.42599061535337e-07,"1","LGALS1"
2.26349758398023e-24,1.6886104167279,0.604,0.236,3.11253552773121e-20,"1","SPARC"
1.22455697347075e-23,1.65816835665139,0.545,0.188,1.68388829421962e-19,"1","MALAT1"
7.87511880462785e-18,1.62692249276913,0.448,0.159,1.08290758682438e-13,"1","SERPINE1"
7.33582198141896e-17,1.61993848786189,0.526,0.235,1.00874888066492e-12,"1","TPT1"
3.06959485632619e-16,1.59671707823585,0.416,0.151,4.22099988693414e-12,"1","RPL23"
2.40872708102583e-14,1.58021678907051,0.37,0.133,3.31224060911862e-10,"1","FSTL1"
3.88968798242012e-09,1.57541047132957,0.253,0.096,5.34870994462591e-05,"1","RPL23A"
1.08972155635519e-13,1.56115472261811,0.377,0.143,1.49847611214403e-09,"1","ZFP36"
4.039857377341e-22,1.53944401415851,0.708,0.387,5.55520787958161e-18,"1","VIM"
1.27458488539762e-11,1.49333933839054,0.312,0.114,1.75268167591027e-07,"1","THY1"
1.15239784837362e-08,1.49333933839054,0.325,0.15,0.000158466228129857,"1","AEBP1"
3.07751311374874e-10,1.448251448862,0.266,0.094,4.23188828271589e-06,"1","CEBPB"
1.34546073760719e-08,1.41533682638927,0.266,0.107,0.000185014306028365,"1","COL5A1"
1.27501983923438e-11,1.39380366483962,0.331,0.124,1.75327978093119e-07,"1","C1QA"
1.13959144517956e-09,1.37108358833954,0.331,0.142,1.56705219626642e-05,"1","EGR1"
2.0038950411422e-12,1.36465731918011,0.448,0.205,2.75555607107464e-08,"1","CD63"
6.65816238145742e-07,1.36465731918011,0.253,0.114,0.0091556390907421,"1","TPM2"
1.24034864235737e-32,1.35624025188314,0.682,0.194,1.70560341810561e-28,"1","COL3A1"
9.17180276737351e-11,1.31500209713203,0.422,0.199,1.26121459854153e-06,"1","COL6A2"
3.03885751954514e-21,1.30069426044814,0.714,0.326,4.17873297512652e-17,"1","COL1A2"
3.19178981128951e-07,1.29071017187552,0.253,0.11,0.0043890301695042,"1","SERPINF1"
6.32900116670753e-10,1.28745168366729,0.331,0.138,8.70300950433952e-06,"1","JUNB"
5.29164311686288e-07,1.2132314191978,0.253,0.11,0.00727653844999815,"1","FBN1"
1.35524853401212e-05,1.20965004779087,0.266,0.139,0.186360225912006,"1","RPS21"
6.23831303689663e-08,1.20869225958264,0.312,0.143,0.000857830425703656,"1","TIMP3"
1.03879448776966e-10,1.20363957640098,0.442,0.212,1.42844630013206e-06,"1","FOSB"
1.52571847989382e-07,1.13238935467399,0.416,0.239,0.00209801548170199,"1","IFITM3"
4.70651053327274e-06,1.10966023241173,0.266,0.129,0.0647192263430335,"1","COL4A2"
6.92362925381483e-06,1.09468545286035,0.318,0.174,0.0952068258692078,"1","DUSP1"
7.29817068148419e-07,1.09124089481919,0.305,0.148,0.0100357145041089,"1","RPL38"
1.71224530807637e-05,1.07830183911169,0.305,0.168,0.235450852313581,"1","C1R"
5.69404461575589e-07,1.04826301273031,0.416,0.241,0.00782988075112592,"1","LUM"
9.8536999430415e-05,1.03913878354026,0.292,0.17,1,"1","BGN"
4.06192540949523e-07,1.01155610067845,0.37,0.195,0.00558555363059689,"1","RPS24"
6.13806497447129e-10,1.00544820821329,0.604,0.392,8.44045314639547e-06,"1","FTH1"
7.69584028638826e-05,1.00269200480626,0.338,0.206,1,"1","FLNA"
1.45457818824145e-07,0.997874988508485,0.396,0.211,0.00200019046665082,"1","LMNA"
9.78697720253568e-05,0.992186681323103,0.299,0.174,1,"1","CCN2"
2.44558951302335e-09,0.987715122288263,0.675,0.484,3.36293013935841e-05,"1","FTL"
1.66754702073462e-07,0.981125438434703,0.519,0.332,0.00229304390821217,"1","TIMP1"
1.45197597572362e-05,0.972665966024363,0.539,0.383,0.199661216421755,"1","IGFBP7"
2.07705140581015e-05,0.91864517312321,0.279,0.143,0.285615338812954,"1","COL6A3"
2.05739932145406e-09,0.900232763014091,0.519,0.282,2.82912980693148e-05,"1","RPL34"
0.000585201284043152,0.863288948140845,0.279,0.17,1,"1","RPL27"
1.50437179688873e-06,0.812821015031014,0.448,0.256,0.0206866165790169,"1","RPL37A"
4.01932083680338e-06,0.808841164118468,0.331,0.17,0.0552696808268832,"1","FOS"
4.41533885098949e-06,0.775406936386935,0.422,0.245,0.0607153245399565,"1","RPL21"
7.26593017133168e-08,0.774617718310864,0.636,0.423,0.000999138057859819,"1","EEF1A1"
9.25729780692531e-05,0.769819275289285,0.338,0.199,1,"1","RPL26"
0.00060616219490855,0.748816393046251,0.331,0.21,1,"1","THBS1"
0.000711895232034689,0.735909641664617,0.299,0.182,1,"1","RPL24"
0.00158033118270432,0.720031897160612,0.266,0.16,1,"1","DCN"
0.00173538542874338,0.694151229141474,0.253,0.152,1,"1","HSP90AA1"
0.00111186160191987,0.675821174040991,0.468,0.343,1,"1","RPL37"
