"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.34789289073267e-43,2.15791143361822,0.294,0.061,7.24906881338814e-39,"0","LIMD2"
5.98325290096519e-29,2.11889603993522,0.265,0.077,8.11029930725831e-25,"0","CD79A"
4.6581610068937e-27,1.83026578342567,0.254,0.073,6.31413724484441e-23,"0","CD24"
2.86235197617722e-32,1.7891018396217,0.458,0.222,3.87991810370823e-28,"0","MALAT1"
3.48867435067878e-22,1.56307264241042,0.276,0.102,4.72889808234509e-18,"0","COTL1"
7.32808453555003e-18,1.51349383708842,0.254,0.102,9.93321858793806e-14,"0","HLA-DQA1"
6.34438299109034e-19,1.4480484615905,0.276,0.112,8.59981114442296e-15,"0","SAT1"
2.81340793516378e-20,1.38768338532026,0.361,0.175,3.8135744561145e-16,"0","TYMP"
4.41165224011464e-26,1.35706933282217,0.42,0.198,5.97999461147539e-22,"0","HLA-DQB1"
1.37336168389418e-19,1.35164880645932,0.387,0.197,1.86159176251857e-15,"0","CIRBP"
5.94218726005524e-14,1.29217123463382,0.266,0.127,8.05463483100488e-10,"0","TSC22D3"
1.21814177625163e-10,1.27018526420047,0.286,0.169,1.65119117770909e-06,"0","CYBA"
8.23284654701462e-13,1.21830526286632,0.259,0.125,1.11596234944783e-08,"0","CRIP1"
3.04457358746145e-20,1.2011741063584,0.427,0.233,4.12691949780399e-16,"0","IGHM"
1.01975391825989e-14,1.09112494534693,0.345,0.185,1.38227643620129e-10,"0","RPL22"
2.50470271997415e-07,0.972487488342422,0.312,0.215,0.00339512453692496,"0","HLA-C"
1.40002750729577e-11,0.961884750923746,0.396,0.25,1.89773728613941e-07,"0","TAPBP"
1.564132605306e-11,0.953768627866285,0.283,0.149,2.12018174649228e-07,"0","LMNA"
2.47426524930581e-09,0.941369594874247,0.354,0.236,3.35386654543403e-05,"0","RPL5"
0.000233738110034444,0.875158793169919,0.299,0.244,1,"0","HLA-E"
5.52968147155541e-07,0.873582781746516,0.323,0.223,0.00749548323469336,"0","NEAT1"
7.58519854649709e-09,0.851302898482055,0.513,0.435,0.000102817366297768,"0","HLA-DRA"
8.86170660581755e-09,0.841984595653793,0.327,0.207,0.000120120433041857,"0","NOP53"
1.35462767150561e-05,0.82782044017062,0.458,0.417,0.183619780872585,"0","RPL4"
8.94445716982786e-07,0.787641095551928,0.255,0.158,0.0121242116937017,"0","PPDPF"
0.0019072681761808,0.780172907062411,0.261,0.208,1,"0","CCL19"
0.00357007458393016,0.763704429638239,0.376,0.355,1,"0","RPL18"
9.00146094587476e-05,0.752499037634282,0.266,0.195,1,"0","CFL1"
6.56592480409228e-05,0.73619745906476,0.327,0.252,0.890011107194709,"0","CCL21"
3.19347224179815e-14,0.7304860555473,0.653,0.539,4.3287516237574e-10,"0","CD74"
0.00346659795414005,0.729489951053294,0.414,0.399,1,"0","RPS11"
1.86451312389712e-21,0.679871373427852,0.737,0.597,2.52734753944254e-17,"0","IGHA1"
0.00931691003459954,0.671646467861808,0.307,0.271,1,"0","PFDN5"
5.55395195588749e-13,0.645439851679587,0.757,0.759,7.52838187620549e-09,"0","RPL28"
0.00057243832593443,0.487892715881792,0.628,0.649,1,"0","HLA-B"
0.00876662877936293,0.47398211601046,0.526,0.535,1,"0","ACTG1"
0.00371458896167097,0.439059678363245,0.259,0.2,1,"0","TRIR"
6.3464075904069e-101,2.81081747988286,0.496,0.058,8.60255548879655e-97,"1","CYP2E1"
6.7918645692125e-132,2.7653164634945,0.818,0.185,9.20637242356754e-128,"1","ALB"
4.7345067232898e-44,2.67406317459643,0.259,0.038,6.41762386341932e-40,"1","HRG"
2.1644842719949e-109,2.63751671035782,0.631,0.107,2.93395843068909e-105,"1","ORM1"
5.06565598590784e-86,2.62436941032342,0.499,0.078,6.86649668889807e-82,"1","TF"
8.64552963680403e-121,2.58103231057902,0.705,0.129,1.17190154226879e-116,"1","AMBP"
7.49503171728564e-167,2.52335090580348,0.931,0.19,1.01595154927807e-162,"1","FGB"
4.85418984233595e-148,2.51476843195833,0.854,0.169,6.57985433128638e-144,"1","HP"
2.99993696589971e-81,2.50909692212324,0.471,0.072,4.06641455727706e-77,"1","APOB"
3.57423762277333e-162,2.50752877989384,0.912,0.185,4.84487909766925e-158,"1","VTN"
3.96097771982254e-91,2.4807509544267,0.565,0.102,5.36910529921945e-87,"1","AKR1C1"
7.92802039525901e-142,2.47770686877129,0.818,0.153,1.07464316457736e-137,"1","APOH"
2.03130823159987e-159,2.4627784657048,0.923,0.2,2.75343830793362e-155,"1","FGA"
3.81705907811278e-103,2.42373640303739,0.612,0.103,5.17402358038187e-99,"1","ORM2"
