"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.88084017079844e-16,1.52398753312213,0.343,0.113,6.08843382882763e-12,"0","EFNA1"
1.04714588845844e-14,0.792531241596304,0.543,0.24,1.08411013832102e-10,"0","NUCB1"
1.43357059058088e-13,1.1028222841954,0.379,0.146,1.48417563242838e-09,"0","ABCC2"
2.10767377265679e-13,1.26500987142515,0.371,0.147,2.18207465683158e-09,"0","ANXA6"
1.38904228407138e-12,1.22146678069402,0.371,0.156,1.4380754766991e-08,"0","QPRT"
1.89967088389227e-11,1.10396284480575,0.371,0.162,1.96672926609367e-07,"0","VKORC1"
2.10725387085148e-11,1.25956962621838,0.264,0.088,2.18163993249254e-07,"0","RER1"
3.15712894422843e-11,0.443641945040234,0.921,0.804,3.26857559595969e-07,"0","SERPINA3"
6.50605812281398e-11,0.917859966454176,0.414,0.195,6.73572197454932e-07,"0","ADH4"
4.87067119786797e-10,1.33737511986559,0.275,0.108,5.04260589115271e-06,"0","TRAPPC1"
1.39738349935193e-09,1.00448232120193,0.307,0.129,1.44671113687905e-05,"0","ACSM2B"
1.53761106717829e-09,0.934536667404775,0.371,0.178,1.59188873784969e-05,"0","GSTK1"
1.5990219020645e-09,1.36152426923316,0.257,0.102,1.65546737520738e-05,"0","CYB5R3"
1.65844492815552e-09,1.04351558789465,0.364,0.179,1.71698803411941e-05,"0","SLC25A1"
4.65434127647424e-09,0.444200966139563,0.886,0.721,4.81863952353378e-05,"0","VTN"
5.72563060983439e-09,0.46162370002943,0.814,0.58,5.92774537036154e-05,"0","APOH"
6.74675152082447e-09,0.712275832804282,0.361,0.168,6.98491184950957e-05,"0","MMP2"
6.88927214357936e-09,1.34076570906636,0.254,0.103,7.13246345024771e-05,"0","AC007952.4"
8.84051679072298e-09,0.368331596242943,0.914,0.763,9.1525870334355e-05,"0","FGG"
9.90300554873194e-09,0.85166322375272,0.368,0.183,0.000102525816446022,"0","ALDH4A1"
1.09171356144634e-08,0.532776774675595,0.643,0.406,0.00011302510501654,"0","A2M"
1.24474113426947e-08,0.329897192620882,0.975,0.856,0.000128868049630919,"0","APOA2"
1.48771794444994e-08,1.2258299422217,0.261,0.11,0.000154023438788902,"0","AKAP12"
1.56388578282543e-08,0.709691283490892,0.364,0.174,0.000161909095095917,"0","COX6C"
1.76822878614506e-08,0.432327583586092,0.893,0.726,0.000183064726229598,"0","FGB"
2.02078258936545e-08,0.852171602817435,0.4,0.212,0.000209211621477005,"0","C8G"
2.12325544346088e-08,1.14407379806126,0.279,0.124,0.000219820636061505,"0","TGFBI"
2.3021288704089e-08,0.405140929054975,0.843,0.665,0.000238339401953433,"0","RBP4"
3.07138479857039e-08,0.319670269852283,0.989,0.9,0.000317980468195992,"0","SERPINA1"
3.1030019920053e-08,0.342402577817633,0.964,0.853,0.000321253796232309,"0","C3"
3.51551957715122e-08,0.805478367369393,0.386,0.201,0.000363961741822466,"0","NDUFB2"
4.1448041330976e-08,1.12258553901683,0.307,0.151,0.000429111571899594,"0","SORD"
4.56246502145338e-08,1.09332815828358,0.3,0.144,0.000472352003671069,"0","PDLIM1"
5.18032194759247e-08,0.719539664358432,0.354,0.174,0.000536318731234249,"0","C5"
5.66054344280381e-08,1.06196398737425,0.289,0.135,0.000586036062633478,"0","MTDH"
8.04725617921659e-08,0.855338881896118,0.364,0.193,0.000833132432234294,"0","ATP5MC1"
9.46487948355852e-08,0.394851300587609,0.668,0.426,0.000979898972932813,"0","FGL1"
9.71099354547401e-08,0.808544670417177,0.371,0.196,0.00100537916176292,"0","ATP5IF1"
1.14235802661963e-07,0.736114873423092,0.411,0.228,0.00118268326495931,"0","PUF60"
1.75084493242259e-07,0.909225578875588,0.35,0.188,0.00181264975853711,"0","HSPA5"
2.15639270888125e-07,0.49794904161709,0.629,0.428,0.00223251337150476,"0","AKR1C1"
2.39533137188851e-07,0.436524691871791,0.646,0.408,0.00247988656931617,"0","GC"
2.44022641786048e-07,1.07773130323257,0.264,0.124,0.00252636641041095,"0","ST13"
2.97583183965949e-07,1.03143765095863,0.286,0.14,0.00308087870359947,"0","PSMC3"
4.15302420759776e-07,0.990268461982227,0.296,0.151,0.00429962596212596,"0","ZFAND5"
4.39322349908325e-07,0.430963518037938,0.743,0.557,0.00454830428860089,"0","TTR"
4.5977293188665e-07,0.966085947403657,0.279,0.135,0.00476002916382249,"0","LSM7"
5.37127189468195e-07,0.711859860757607,0.311,0.154,0.00556087779256422,"0","CES2"
